Centroid_x,Centroid_y,Centroid_z,Label,PhysicalSize,NTouchingNeighbors,betaCatenin_0_Mean,MapK_2_Mean,pSmad1/5_4_Mean,structure,x_corr,y_corr,z_corr,r,theta,phi,CytoSize,NucSize,r_neigh,r_neigh_mean,pSmad1/5_nc_ratio,pSmad1/5_nuc,pSmad1/5_cyto,betaCatenin_nc_ratio,betaCatenin_nuc,betaCatenin_cyto,MapK_nc_ratio,MapK_nuc,MapK_cyto,dist_out,cur_phi,rel_theta,phi_bin_cur
385.4631496848064,389.9964878425319,-18.842564003602213,1,13136.37,19,57.66912710665123,108.80008523092756,499.61410491444747,cells,73.33010215166094,75.34291596586128,267.13388191254097,275.73676983187045,0.2504525488353922,0.7989358642918379,8362.965,1489.735,58.40013394967994,35.85145446592591,1.1072535999449225,561.6913641520136,507.283393957765,0.8061347310381429,46.61096142938174,57.82031171061938,1.1317216192700192,124.74156267725468,110.22283267656866,18.04156109051621,1.7225919677097572,0.16016398305457594,15
429.4299773000401,296.14851448791563,-19.92208572573108,2,6328.205000000001,15,56.10446988917079,103.59083322205902,531.6107123781546,cells,140.9713754058666,-69.03858150277914,266.0543601904121,284.9473768411787,0.3661951922480363,-0.4554017379620502,4061.0700000000006,494.74750000000006,47.52482308379343,29.514431145011088,1.034000888338913,570.6891545687447,551.9232729920932,0.8262061533089302,46.705166524338175,56.52967644610903,1.066264791229595,113.24914602903502,106.21109030378692,8.830954081207949,0.4682543654558692,0.23418120853076133,11
443.5329718251976,322.05759167085256,-19.867528197634595,3,9252.3275,16,59.02469290835198,111.65303210192246,587.4585483355404,cells,162.66829005995507,-29.17846275979925,266.10891771850856,286.9728666531717,0.3836717795724605,-0.1774865233440798,5578.6900000000005,1212.9975000000002,45.667504356055375,31.371803579823016,1.1611534429454042,697.9299024730059,601.0660405937595,0.8999658388681969,52.75635667014977,58.62039912147834,1.1195204164865724,126.72553117380704,113.19626628294456,6.805464269214951,0.7461695800738396,0.24535745668274397,12
399.9844841738061,333.43084312317245,-18.65728723131381,4,16471.585000000003,20,57.82689298722618,100.32185271635971,454.72656209921513,cells,95.670616750122,-11.68115283315326,267.31915868482935,274.5619578742263,0.2302010999085032,-0.1214962348527378,10195.347500000002,1534.9425,58.40013394967994,37.625603542227054,1.2292670770733989,554.1800853289293,450.8215469727736,0.9258111279856424,53.896366639141206,58.21529360573536,1.260414435436319,125.62709881640518,99.67126310554887,19.21637304816033,0.8021598685651816,0.1472132155824962,12
360.409062360304,343.1339394278051,-19.40060348681269,5,18902.65,21,54.0188645507376,96.35130196691998,419.2920987930264,cells,34.78535242165724,3.2466876355123566,266.57584242933046,267.5413371708587,0.0849816579552719,0.0930652888656859,12792.0325,1548.8850000000002,53.14242320078402,36.01684315659357,1.440032463393894,586.9015275504637,407.5613171714503,0.962153374258861,52.0278232405892,54.07435512104898,1.4657951622782688,137.49768139661757,93.8041582719556,26.23699375152796,1.0167213922836054,0.054345627097784704,13
322.7599866465892,351.9970963434384,-20.66215870670796,6,14870.732500000002,16,55.17463136062732,102.59258601585364,483.836022956502,cells,-23.13630252251939,16.88231365956356,265.31428720943524,265.96662981230673,0.0700532197308233,2.5112175783384343,9893.26,1410.305,49.55814986232077,34.078310915567805,1.1547446199946785,559.4603055721989,484.48834130509056,0.7657040763472458,42.83867585380467,55.94677784420909,1.147042642399302,118.56201318154584,103.36321318756406,27.811701110079923,-2.8483116254232326,0.04479891600248924,1
414.4048022598871,357.2044170518747,-18.53660463829956,7,10693.8975,12,62.8262810635692,113.07767373869068,521.5592825253842,cells,117.85572149793892,24.893576287927143,267.43984127784364,278.6653917738599,0.2848040047045661,0.2081611149674998,6762.535000000001,1464.3850000000002,46.56078547110353,31.491894009296875,1.25433873137812,646.5776832083093,515.4729476446332,0.9194118387674488,56.35119734564339,61.29048481819318,1.249771942916317,139.78462204270053,111.84810383606148,15.112939148526776,1.1318172183854192,0.1821316812126268,13
356.53287924851884,378.3551294044278,-17.525647022139072,8,10839.660000000002,17,57.20724197068912,108.98734214218896,490.0524146398503,cells,28.821993788141597,57.43313375339347,268.4507988940041,271.68078497073066,0.1543537111965313,1.1056812793990516,6576.635,1110.7525,42.95569679440811,31.543547088766218,1.222872814842796,607.006085964245,496.3771200051394,0.7926366884711349,45.90880562951693,57.91910253115765,1.2081261584588658,133.7869912514264,110.739255428498,22.097545951656,2.029337382816971,0.09870893827772705,16
419.2722151898734,380.1833111259161,-21.303431045969354,9,12683.45,14,61.57520819453698,111.40727848101264,553.0962191872085,cells,125.34404908253325,60.24572101722155,264.6730148701738,279.68418092852875,0.3291168448576731,0.4480423167111482,8261.1425,1493.1150000000002,51.05775293981477,30.91194077840722,1.133700648849739,634.8447934352009,559.9756814811027,0.782854680071402,48.68817204301075,62.19311614585997,1.177267671210032,132.47891907187324,112.53083925740296,14.094149993857911,1.3716984201290676,0.21046966783877613,14
324.852684671008,386.7547261395869,-19.02700651192521,10,10575.597500000002,15,55.11164156446007,113.64995405696936,548.6141584435301,cells,-19.91676710033665,70.35559026902284,266.949439404218,271.1474434258419,0.1761958149788846,1.8466654894667256,6838.585000000001,905.4175,38.97075700505155,31.33273319375965,1.1802971877890238,660.4886840877275,559.5952366242432,0.8568844111870969,47.323845076994864,55.22780489311751,1.132937415496492,132.0759449370042,116.57832386012603,22.630887496544744,2.770321592884645,0.11267692685017461,18
