Centroid_x,Centroid_y,Centroid_z,Label,PhysicalSize,NTouchingNeighbors,betaCatenin_0_Mean,MapK_2_Mean,pSmad1/5_4_Mean,structure,x_corr,y_corr,z_corr,r,theta,phi,CytoSize,NucSize,r_neigh,r_neigh_mean,pSmad1/5_nc_ratio,pSmad1/5_nuc,pSmad1/5_cyto,betaCatenin_nc_ratio,betaCatenin_nuc,betaCatenin_cyto,MapK_nc_ratio,MapK_nuc,MapK_cyto,dist_out,cur_phi,rel_theta,phi_bin_cur
185.95091549985315,218.3493390776461,-98.82747478703612,2095,4314.9925,15,53.50406344854597,76.07595711348281,462.3541564672476,cells,-224.9927386236385,-178.52805861708657,199.7729653993432,273.42814918463296,0.7515619973357263,-2.470837747219768,2449.655,910.91,30.813469444965392,20.90849019814382,1.5326336731995005,644.3131957328386,420.3960848568472,0.8675811468829023,45.27017625231911,52.17976026215936,1.134632272591782,84.34879406307978,74.34020351845464,39.25371743128318,1.8170806963140684,0.4881853048503821,15
225.10460313967133,226.31872799295772,-96.59954518779342,2096,5759.52,19,56.20180457746479,73.2623789612676,383.799882629108,cells,-164.7562961008413,-166.2674602858379,202.00089499858592,252.8891607698329,0.6455442408458012,-2.351629398840916,3492.8075000000003,951.0475,40.024280029169255,23.10267728595283,1.3956114755619229,505.9338071968014,362.5176605782025,0.7956146811640387,43.94291426032874,55.2314019595984,1.1873109958720214,83.8996001776988,70.66354179266965,59.79270584608324,1.93628904469292,0.4193203130665202,16
199.1382623401332,227.7599038156644,-96.90867772962687,2097,3997.272500000001,16,51.17445301765141,68.14599408096396,371.7142743895994,cells,-204.70451271551536,-164.05026671244312,201.69176245675249,264.1107867472396,0.7018276907271837,-2.4659984267387367,2300.5125000000003,738.9525000000001,28.792632918531027,21.19886903488027,1.3849037685088148,482.0840480274442,348.0993112947658,0.8540624011805628,42.11492281303602,49.31129476584022,1.1407896502996655,75.34119496855345,66.04302112029384,48.57107986867652,1.821920016795099,0.4558798427337712,16
246.66321444560512,231.20803611401288,-97.14199373227876,2098,5662.345,15,56.40273839725414,71.4663669601552,380.90937919713474,cells,-131.58920178402008,-158.74544779190694,201.45844645410057,241.967861561182,0.5870406787079118,-2.2629315415651634,3309.865,1085.825,38.270174374887205,22.076269072527595,1.586065255959051,555.630252918288,350.3199195813122,0.8029179561485276,45.20894941634241,56.30581439877457,1.1670692637116082,81.58278210116731,69.9039762573398,70.71400505473414,2.0249869019686724,0.3813186852322689,16
306.1610869023904,241.706125498008,-95.20878984063744,2099,3393.5200000000004,13,45.531934760956176,62.89535607569721,341.1136391932271,cells,-40.05401338896578,-142.59454104729906,203.39165034574188,225.02615101516437,0.4420938248332258,-1.8446342486869287,1988.2850000000003,591.9225,32.35393475437241,20.603671464061595,1.3672075245274586,445.2330478229836,325.6514024649384,0.8770744954119855,38.54925053533191,43.9520824479388,1.239333634817715,74.90239114917915,60.43763280917977,87.65571560075179,2.4432841948469073,0.2871668730108373,17
494.03131921507673,255.1716631047212,-97.0334175247717,2100,2174.6075,12,74.1585875267146,85.64654167476199,508.2039537594715,cells,248.97711324593624,-121.87832934466336,201.5670226616076,270.3623958415968,0.7294458190743558,-0.4552254455100633,835.2825,774.0200000000001,27.24863024791543,19.163914380305968,1.1360220802940644,561.046943231441,493.8697521497218,0.920955574028733,68.3019923580786,74.16426403641881,1.079696920830764,90.8022652838428,84.09977238239757,42.31947077431937,-2.4504923091558135,0.47381949968071285,3
312.49209130831053,275.3667453807275,-97.96992294307732,2101,5099.1525,16,47.04737343607589,69.88219819371945,417.306508409976,cells,-30.314006610627143,-90.8089719969614,200.630517243302,210.0592892373652,0.3007527742605901,-1.8929863586999347,3085.5175000000004,913.8675,34.98373395900756,22.86605039408184,1.5262350340399329,596.8312528895053,391.04806244009313,0.8708094603632174,39.83807212205271,45.74832260714775,1.148692369704858,79.00150254276468,68.77516089278379,102.62257737855094,2.3949320848339015,0.19535724971125407,17
199.92951554186504,277.2306426771213,-100.17474096891628,2102,3017.4950000000003,13,54.11932931951834,75.51540184822179,400.0310487258471,cells,-203.48720009746637,-87.94143769481707,198.42569921746303,245.2238151584982,0.6280724394398128,-2.7336631097261064,1711.1250000000002,577.98,32.37255432468732,21.56800830732729,1.3118487854469598,525.703399122807,400.7347530864197,1.061505413190513,54.58771929824562,51.424814814814816,1.1219779025409762,85.92397660818713,76.58259259259259,67.45805145741792,1.5542553338077294,0.40797131361483874,15
162.87665036674818,293.96360828722175,-99.16342813022776,2103,3283.2475000000004,14,63.252284133316174,86.97320164714966,513.5950006434178,cells,-260.4916080591846,-62.19841367927791,199.4370120561516,264.7238782265026,0.7176130650328029,-2.9072079844223184,1617.3300000000002,851.7600000000001,38.05261891037945,21.89258774498943,1.3098669493436566,644.3779761904761,491.9415491118077,0.8787115867665719,53.76748511904762,61.18900208986416,1.1193051979561777,96.46192956349206,86.18018547544409,47.95798838941352,1.3807104591115174,0.46613340504118483,14
173.90347375491794,296.6519911716726,-94.6289223682948,2104,4402.8725,17,53.12066980136263,72.52725266289224,357.2031954706842,cells,-243.52726438507727,-58.062440010892,203.9715178180845,260.9316341572012,0.6734015402379185,-2.9075395543256377,2531.1975,593.6125000000001,47.72905635557175,24.675720104868844,1.5212081972247589,524.1222419928826,344.5433984309798,0.8523098221720147,44.38736654804271,52.07891003171424,1.2731753847472616,90.99697508896796,71.47245868803205,51.75023245871495,1.380378889208198,0.4374153261782252,14
139.5350338082589,305.7877988408597,-98.85583192465587,2105,3499.1450000000004,12,64.20266843757547,90.23765394832166,543.5840376720599,cells,-296.40178737993733,-44.00735128906569,199.74460826172344,278.9882885325896,0.7727973216621206,-2.9941974655863737,1775.3450000000005,861.0550000000001,29.036670642341456,18.538974431420076,1.295870877526915,673.4436947988223,519.6842574964303,0.820767137463972,52.859298331697744,64.40230842455973,1.1479116684790462,100.78962217860648,87.80259400285578,33.69357808332654,1.293720977947462,0.5019789417248217,14
