Centroid_x,Centroid_y,Centroid_z,Label,PhysicalSize,NTouchingNeighbors,betaCatenin_0_Mean,MapK_2_Mean,pSmad1/5_4_Mean,structure,x_corr,y_corr,z_corr,r,theta,phi,CytoSize,NucSize,r_neigh,r_neigh_mean,pSmad1/5_nc_ratio,pSmad1/5_nuc,pSmad1/5_cyto,betaCatenin_nc_ratio,betaCatenin_nuc,betaCatenin_cyto,MapK_nc_ratio,MapK_nuc,MapK_cyto,dist_out
551.5677419354838,299.8684907834101,-184.7818149592343,5660,4767.490000000001,14,49.24481566820276,35.637362637362635,411.20152428216943,cells,288.70298099526866,-89.56437792367979,34.302700775435284,199.45175518152845,1.397952033413153,-0.3008156559719588,2639.3575,695.0125,32.002940571686835,22.014654664997465,0.9455213349262631,396.0984802431611,418.9207219465344,0.8887955093187353,44.47872340425532,50.04382103409637,1.0455575581235976,37.61747720364742,35.97838962702097,90.0202909718503
569.6389790741915,393.4583956880152,-181.53595434369052,5661,3331.4125000000004,12,63.38804692454027,49.93671528218136,510.5463221306278,cells,316.5048842855882,54.42009116032803,37.548561390979074,212.09721753045676,1.3928236149288056,0.17027580020080366,1566.2075000000002,951.8925,31.160185030906664,19.7434867298569,1.1296440669093109,558.160119840213,494.102643647154,0.9238221720520055,59.24212161562361,64.12719179929863,1.137229353183331,54.73579671549046,48.13083355813326,77.374828622922
536.7147838541667,409.4181067708334,-186.8603125,5662,8112.000000000001,15,45.26186197916667,35.216458333333335,316.6776692708333,cells,265.85227625478086,78.9734928262022,32.2242032346696,183.12473327842588,1.3939066895263486,0.2887553491986404,5303.642500000001,759.2325000000001,42.50787116210493,23.812587882707515,1.067084776340501,334.4020589872009,313.379092647176,0.8963631310367468,40.85503617139677,45.578666454234046,1.07883698620276,38.21521981079577,35.422608141480126,106.34731287495288
573.5663869793773,426.5431813586737,-184.81641730691467,5663,4179.370000000001,14,62.85308835422563,48.185275980590376,475.9096744844319,cells,322.5470502935663,105.31976142287957,34.26809842775492,223.19552516804308,1.416652650532367,0.315610830972186,2030.9575,1117.5125,29.585152728907513,20.450873424324218,1.1682795324817519,540.4223062381852,462.5796234657791,0.9854411582477584,61.31947069943289,62.22540045766591,1.195487247822569,55.17060491493384,46.14905346369877,66.27652098533568
79.50950178867464,441.6066878980892,-183.56644271878545,5664,4842.2725,11,63.60127824797138,53.03644969897915,617.0698455632144,cells,-437.5404653844377,128.49438686813423,35.51807301588414,298.5321599506718,1.4515381347758471,2.8559493159188927,2979.0475,665.86,27.346885491660316,20.313565344918747,1.1867689672601498,698.1345177664974,588.2648915047511,1.1799929632978294,67.43305837563452,57.14700042547157,1.7891573916987422,82.31234137055837,46.00620479364629,9.06011379729307
115.19753879310343,449.0071681034483,-182.35137931034484,5665,4901.000000000001,11,62.53150862068966,56.279719827586206,621.9706034482758,cells,-382.6357930699319,139.87974103022512,36.733136424324755,267.3469491487505,1.4329615513437932,2.7911158830936125,2433.1775,1324.96,33.487938576579346,20.320118784296362,1.1219097605203134,674.4039381377551,601.1213752387567,1.0988987385621969,66.70424107142857,60.70098975516583,1.49241124514092,73.80827487244898,49.45572147942351,22.12509700462823
441.0857043292883,473.83273204329294,-179.97195801902262,5666,5152.81,13,36.14389963922598,29.550139389963924,265.13723761889145,cells,118.7306154472756,178.07291632229382,39.11255771564697,144.51026592507662,1.2967220189359498,0.9827340952948287,3211.0000000000005,145.76250000000002,33.92736188430069,22.24124175055897,1.2108125943739878,326.1478260869565,269.36276315789473,0.9982625889814414,36.73478260869565,36.79871710526316,1.1568648770176857,35.01521739130435,30.26733552631579,144.96178022830213
532.9157464559453,493.92416740147866,-186.1802211218884,5667,6228.9175000000005,17,52.7348741775758,41.97358068235773,424.798718035678,cells,260.00760333444015,208.98281687334875,32.9042946127812,219.3115388656768,1.4201931704950959,0.6770273339592603,3562.0975000000003,1276.795,44.285237473462445,23.02366551705989,1.1969834774610557,487.8645764394441,407.57837148618194,0.9786816767740593,51.38749172733289,52.506849721266754,1.187506719523753,47.76489080079418,40.22283833471712,70.16050728770196
154.99989666752776,496.05897700852495,-183.7738310514079,5668,3270.9950000000003,11,61.291010074916045,50.52718935675536,578.7262335313873,cells,-321.40139634004834,212.26713934572768,35.310684683261684,252.83855969627476,1.4306812754928224,2.5579114809122654,1610.5700000000002,746.5575000000001,23.869257018213297,18.64023660626378,1.1157348885464637,641.0529145444256,574.5566631689402,1.059487132601447,62.39912280701754,58.89559286463798,1.2429465629868737,60.215902659875496,48.44609129066107,36.633486457104
441.6225690607735,501.3424861878453,-183.29576427255984,5669,4588.35,14,42.2445211786372,35.09682320441989,328.92810773480664,cells,119.55656118802206,220.39561500622048,35.78875146210976,166.86091235181783,1.3546343223401172,1.0737577582037525,3084.6725,416.1625,33.519725048731964,21.295675973998502,1.0901918658035321,366.236040609137,335.9372346253938,0.8957354567250672,38.14187817258883,42.58163265306123,1.0917007104944305,38.623604060913706,35.3792973565265,122.61113380156092
527.9645496298327,528.5401391554702,-188.2916095420894,5670,6163.43,19,57.89258294488621,50.849619550315325,490.18321565670414,cells,252.39037744811316,262.2381580333358,30.792906192580205,238.5721572253714,1.4413635673557719,0.8045315346853141,2839.2000000000003,1996.735,37.32471240708596,23.25514981037699,1.2103410898070435,564.2704718578078,466.2078125,1.0895762240008608,60.31797503173932,55.35911458333333,1.3048096722063225,60.96461066440965,46.722991071428574,50.89988892800736
557.3051823529412,532.5726823529412,-182.45329411764703,5671,3591.2500000000005,15,55.211970588235296,44.152,482.3086470588235,cells,297.52981240674154,268.44207064482964,36.63122161702256,263.0381450473864,1.431080200078279,0.7340490194107938,1420.8675,1115.4,33.16690745342948,21.38970858911911,1.228822256877088,569.6192234848485,463.54891465953017,1.1634496299896206,60.33020833333333,51.854594112399646,1.1778490182017154,49.92689393939394,42.388195063931015,26.433901105992334
222.97946187750807,535.2742089336228,-187.22386685086508,5672,6422.422500000001,15,59.55585158871127,47.76333793829353,523.913147161371,cells,-216.81744986315553,272.5982653843398,31.860648883804515,228.63210789133663,1.4309879694581857,2.242709889146221,3500.4125000000004,1515.93,37.51610430773275,25.103633689518652,1.3392103330977945,661.0207636566332,493.5899517199759,1.112550490596953,62.987109810479375,56.61505733252866,1.4583938221091624,63.10026477146042,43.26695835847918,60.839938262042125
