filename_prefix,Label,0,1,2,3,4,5
C04_px-0816_py-1668,1,0.97591,1.0,0.969345,0.992908,0.944419,0.936586
C04_px-0816_py-1668,2,0.979197,1.0,0.979609,0.994094,0.981693,0.970245
C04_px-0816_py-1668,3,0.978113,1.0,0.967928,0.989228,0.98038,0.944531
C04_px-0816_py-1668,4,0.981888,1.0,0.957436,0.987616,0.941271,0.908995
C04_px-0816_py-1668,5,0.979427,1.0,0.938966,0.980325,0.920576,0.890061
C04_px-0816_py-1668,6,0.97532,1.0,0.984366,0.996031,0.991419,0.977561
C04_px-0816_py-1668,7,0.978804,1.0,0.97495,0.995099,0.965858,0.942309
C04_px-0816_py-1668,8,0.948385,1.0,0.941985,0.991153,0.95482,0.9759
C04_px-0816_py-1668,9,0.918621,1.0,0.950918,0.976104,0.875327,0.871597
C04_px-0816_py-1668,10,0.96614,1.0,0.969585,0.982348,0.902216,0.865041
C04_px-0816_py-1668,11,0.933147,1.0,0.960238,0.984175,0.915516,0.868736
C04_px-0816_py-1668,12,0.972227,1.0,0.957818,0.984818,0.941264,0.909988
C04_px-0816_py-1668,13,0.979622,1.0,0.959776,0.99009,0.937055,0.908609
C04_px-0816_py-1668,14,0.949328,1.0,0.968669,0.98628,0.959609,0.961598
C04_px-0816_py-1668,15,0.984685,1.0,0.982636,0.993956,0.935357,0.964086
C04_px-0816_py-1668,16,0.986453,1.0,0.979623,0.98812,0.953506,0.928579
C04_px-0816_py-1668,17,0.951386,1.0,0.972629,0.989411,0.91937,0.930867
C04_px-0816_py-1668,18,0.971673,1.0,0.975134,0.993279,0.973912,0.969056
C04_px-0816_py-1668,19,0.985148,1.0,0.942372,0.984662,0.953071,0.932397
C04_px-0816_py-1668,20,0.983216,1.0,0.971027,0.980618,0.944433,0.934543
C04_px-0816_py-1668,21,0.990162,1.0,0.986448,0.995409,0.965923,0.926288
C04_px-0816_py-1668,22,0.98639,1.0,0.968702,0.991439,0.965731,0.960315
C04_px-0816_py-1668,23,0.988699,1.0,0.975474,0.995589,0.936837,0.926129
C04_px-0816_py-1668,24,0.893093,1.0,0.96178,0.983667,0.959072,0.957673
C04_px-0816_py-1668,25,0.642943,1.0,0.900175,0.965899,0.931133,0.901595
C04_px-0816_py-1668,26,0.969083,1.0,0.952589,0.967588,0.905673,0.897259
C04_px-0816_py-1668,27,0.807418,1.0,0.925798,0.971936,0.962722,0.926853
C04_px-0816_py-1668,28,0.949982,1.0,0.946308,0.983763,0.884567,0.8634
C04_px-0816_py-1668,29,0.918578,1.0,0.979525,0.983516,0.949886,0.922637
C04_px-0816_py-1668,30,0.980191,1.0,0.974274,0.983199,0.91943,0.895263
C04_px-0816_py-1668,31,0.973206,1.0,0.957218,0.978202,0.895422,0.871196
C04_px-0816_py-1668,32,0.973993,1.0,0.963411,0.977855,0.943327,0.885037
C04_px-0816_py-1668,33,0.839192,1.0,0.969285,0.976992,0.964578,0.95032
C04_px-0816_py-1668,34,,1.0,-0.160767,0.020738,-0.162377,0.121421
C04_px-0816_py-1668,35,0.015786,1.0,0.768877,0.817842,0.103765,0.001616
C04_px-0816_py-1668,36,0.909635,1.0,0.94238,0.949863,0.857434,0.819863
C04_px-0816_py-1668,37,0.902617,1.0,0.963262,0.983214,0.944887,0.862657
C04_px-0816_py-1668,38,0.910114,1.0,0.958168,0.970649,0.928303,0.949607
C04_px-0816_py-1668,39,0.872054,1.0,0.981859,0.985374,0.950181,0.929861
C04_px-0816_py-1668,40,0.881206,1.0,0.958253,0.972339,0.925287,0.895603
C04_px-0816_py-1668,41,0.986772,1.0,0.984017,0.994451,0.933696,0.873885
C04_px-0816_py-1668,42,0.986789,1.0,0.980981,0.986339,0.944336,0.904997
C04_px-0816_py-1668,43,0.798782,1.0,0.93014,0.947204,0.854837,0.8127
C04_px-0816_py-1668,44,0.958312,1.0,0.968589,0.958028,0.956708,0.911775
C04_px-0816_py-1668,45,0.953515,1.0,0.978302,0.975432,0.934156,0.881269
C04_px-0816_py-1668,46,-0.199389,1.0,-0.610692,-0.610542,-0.248445,-0.411089
C04_px-0816_py-1668,47,0.917487,1.0,0.956442,0.965079,0.927633,0.940781
