filename_prefix,Label,0,1,2,3,4,5
B07_px+1257_py-0474,1,0.989876,1.0,0.996029,0.928342,0.887906,0.874534
B07_px+1257_py-0474,2,0.992729,1.0,0.992511,0.943281,0.90723,0.883795
B07_px+1257_py-0474,3,0.989314,1.0,0.995438,0.952877,0.926393,0.90915
B07_px+1257_py-0474,4,0.982884,1.0,0.993881,0.949133,0.939328,0.920255
B07_px+1257_py-0474,5,0.969296,1.0,0.986988,0.879764,0.800446,0.75666
B07_px+1257_py-0474,6,0.946318,1.0,0.994799,0.904865,0.835906,0.832179
B07_px+1257_py-0474,7,0.267643,1.0,0.936391,-0.048253,0.301011,0.192623
B07_px+1257_py-0474,8,0.991999,1.0,0.997412,0.967231,0.951677,0.908395
B07_px+1257_py-0474,9,0.989699,1.0,0.99531,0.942983,0.920033,0.88882
B07_px+1257_py-0474,10,0.98041,1.0,0.995325,0.952272,0.91354,0.891808
B07_px+1257_py-0474,11,0.950932,1.0,0.984503,0.914811,0.85056,0.833578
B07_px+1257_py-0474,12,0.966363,1.0,0.992669,0.85718,0.787048,0.776898
B07_px+1257_py-0474,13,0.956901,1.0,0.992501,0.876193,0.858295,0.839557
B07_px+1257_py-0474,14,0.987025,1.0,0.994981,0.941432,0.909523,0.903026
B07_px+1257_py-0474,15,0.936031,1.0,0.994796,0.863546,0.800593,0.771062
B07_px+1257_py-0474,16,0.990391,1.0,0.993177,0.949136,0.928914,0.914787
B07_px+1257_py-0474,17,0.977756,1.0,0.99323,0.867766,0.841284,0.843748
B07_px+1257_py-0474,18,0.994728,1.0,0.996852,0.954482,0.929722,0.899987
B07_px+1257_py-0474,19,0.95599,1.0,0.989957,0.86793,0.828554,0.847661
B07_px+1257_py-0474,20,0.941769,1.0,0.99207,0.85998,0.779395,0.745817
B07_px+1257_py-0474,21,0.975135,1.0,0.988444,0.931481,0.918263,0.907951
B07_px+1257_py-0474,22,0.934704,1.0,0.988612,0.875701,0.795108,0.731439
B07_px+1257_py-0474,23,0.963573,1.0,0.990977,0.894329,0.861256,0.854182
B07_px+1257_py-0474,24,0.933937,1.0,0.99082,0.864404,0.726779,0.618178
B07_px+1257_py-0474,25,0.987252,1.0,0.994722,0.914343,0.888558,0.858546
B07_px+1257_py-0474,26,0.985489,1.0,0.995444,0.918988,0.891281,0.875677
B07_px+1257_py-0474,27,0.91864,1.0,0.988371,0.909469,0.85643,0.819348
B07_px+1257_py-0474,28,0.935403,1.0,0.99354,0.891053,0.758267,0.714331
B07_px+1257_py-0474,29,0.993451,1.0,0.993337,0.913651,0.904965,0.878575
B07_px+1257_py-0474,30,0.948734,1.0,0.993672,0.928975,0.849904,0.820849
B07_px+1257_py-0474,31,0.991818,1.0,0.991158,0.942802,0.934115,0.90442
B07_px+1257_py-0474,32,0.968542,1.0,0.99219,0.913427,0.872776,0.852804
B07_px+1257_py-0474,33,0.99151,1.0,0.995354,0.958322,0.961093,0.927065
B07_px+1257_py-0474,34,0.963238,1.0,0.989819,0.900806,0.865789,0.844374
B07_px+1257_py-0474,35,0.987269,1.0,0.995486,0.932591,0.932098,0.898919
B07_px+1257_py-0474,36,0.990255,1.0,0.995683,0.947054,0.950889,0.912898
B07_px+1257_py-0474,37,0.992012,1.0,0.995426,0.943946,0.920025,0.865322
B07_px+1257_py-0474,38,0.925724,1.0,0.990781,0.911311,0.839701,0.782597
B07_px+1257_py-0474,39,0.126051,1.0,0.618705,-0.166552,0.140204,-0.163652
B07_px+1257_py-0474,40,0.922796,1.0,0.993366,0.849213,0.746528,0.698368
B07_px+1257_py-0474,41,,1.0,0.019531,0.133298,0.092647,-0.024523
B07_px+1257_py-0474,42,0.982801,1.0,0.992367,0.918823,0.896261,0.874942
B07_px+1257_py-0474,43,0.987197,1.0,0.992917,0.928901,0.906188,0.915435
B07_px+1257_py-0474,44,0.988459,1.0,0.991048,0.907087,0.914507,0.894878
B07_px+1257_py-0474,45,0.992489,1.0,0.992078,0.920575,0.91274,0.900679
B07_px+1257_py-0474,46,0.993777,1.0,0.991128,0.949987,0.935795,0.905793
B07_px+1257_py-0474,47,0.994696,1.0,0.993512,0.952187,0.942305,0.916479
B07_px+1257_py-0474,48,0.985506,1.0,0.992468,0.94928,0.926741,0.899448
B07_px+1257_py-0474,49,0.984019,1.0,0.987645,0.956773,0.93745,0.913349
B07_px+1257_py-0474,50,0.987224,1.0,0.991389,0.91354,0.892797,0.871461
B07_px+1257_py-0474,51,0.988592,1.0,0.994481,0.948598,0.939399,0.926116
B07_px+1257_py-0474,52,0.991261,1.0,0.993144,0.912243,0.915004,0.871392
B07_px+1257_py-0474,53,0.987791,1.0,0.991926,0.937112,0.939116,0.915124
B07_px+1257_py-0474,54,0.993675,1.0,0.996484,0.980886,0.962335,0.942311
B07_px+1257_py-0474,55,0.979129,1.0,0.992846,0.95537,0.911634,0.846869
B07_px+1257_py-0474,56,0.981484,1.0,0.993009,0.938865,0.917987,0.895088
B07_px+1257_py-0474,57,0.989152,1.0,0.993838,0.974592,0.958735,0.94497
B07_px+1257_py-0474,58,0.9835,1.0,0.995292,0.954971,0.937926,0.928069
B07_px+1257_py-0474,59,0.993928,1.0,0.993325,0.943802,0.92723,0.907335
B07_px+1257_py-0474,60,0.994402,1.0,0.993277,0.933353,0.927406,0.91105
B07_px+1257_py-0474,61,0.996509,1.0,0.99361,0.939497,0.927079,0.900311
B07_px+1257_py-0474,62,0.995477,1.0,0.990995,0.93952,0.8827,0.844773
B07_px+1257_py-0474,63,0.992085,1.0,0.989975,0.921912,0.912872,0.888472
B07_px+1257_py-0474,64,0.987692,1.0,0.994433,0.958846,0.939775,0.917387
B07_px+1257_py-0474,65,0.993291,1.0,0.993838,0.920827,0.929141,0.895656
B07_px+1257_py-0474,66,0.964542,1.0,0.994514,0.941808,0.946658,0.917884
B07_px+1257_py-0474,67,0.993893,1.0,0.993674,0.935713,0.938436,0.914533
B07_px+1257_py-0474,68,0.98857,1.0,0.987658,0.94461,0.939319,0.911643
B07_px+1257_py-0474,69,0.989083,1.0,0.988249,0.929036,0.915089,0.88395
B07_px+1257_py-0474,70,0.960366,1.0,0.990981,0.933892,0.915011,0.872943
B07_px+1257_py-0474,71,0.969358,1.0,0.989983,0.948188,0.917548,0.851314
B07_px+1257_py-0474,72,0.9806,1.0,0.99321,0.92692,0.924065,0.898888
B07_px+1257_py-0474,73,0.985713,1.0,0.993536,0.946493,0.937398,0.907806
B07_px+1257_py-0474,74,0.977265,1.0,0.987649,0.901795,0.880462,0.879233
B07_px+1257_py-0474,75,0.965761,1.0,0.989662,0.886044,0.831479,0.79747
B07_px+1257_py-0474,76,0.956247,1.0,0.993781,0.853558,0.809891,0.797013
B07_px+1257_py-0474,77,0.994596,1.0,0.991255,0.964651,0.964878,0.954052
