Centroid_x,Centroid_y,Centroid_z,Label,PhysicalSize,NTouchingNeighbors,betaCatenin_0_Mean,MapK_2_Mean,pSmad1/5_4_Mean,structure,x_corr,y_corr,z_corr,r,theta,phi,CytoSize,NucSize,r_neigh,r_neigh_mean,pSmad1/5_nc_ratio,pSmad1/5_nuc,pSmad1/5_cyto,betaCatenin_nc_ratio,betaCatenin_nuc,betaCatenin_cyto,MapK_nc_ratio,MapK_nuc,MapK_cyto,dist_out
448.497558542168,387.6306033217912,-84.41663243148072,805,7198.977500000001,15,43.12541815834263,71.04089148424204,580.2566025001468,cells,202.1808401224542,103.98609477079476,212.2167363380339,258.60211269380466,0.6082831670418066,0.47503961103609194,4784.812500000001,799.7925000000001,38.56152844909702,26.075294236048215,1.1875296498519168,704.2309825673534,593.0218101545254,0.8484093295646533,36.40927099841522,42.91474613686534,1.1358186292197165,81.98837823560486,72.18439293598234,40.1531882532085
495.5569588500564,390.97705186020295,-89.72649379932356,806,7495.150000000001,13,48.07780439684329,78.144503945885,727.0841037204059,cells,274.57991751920554,109.13447713758204,206.90687497019104,282.30584736951596,0.7481958941989181,0.3783146270403716,4442.165000000001,1730.9825,33.303607859160245,24.118764455247334,1.0822050921517943,799.3919331217965,738.6695358569526,0.9032929998620146,42.98889431291189,47.59130682898992,1.0645956779063563,84.30546741518184,79.19012744911547,16.449453577497195
151.71051342812007,430.4360071090048,-86.57211690363349,807,5348.85,10,51.70801737756714,71.55438388625592,683.7399684044234,cells,-254.41461389915798,169.84056213573868,210.06125186588113,289.2406579948584,0.7579441830192126,2.5529622117583157,2888.6325,1228.2075000000002,32.45854059848725,25.376447867905238,1.1844443951226729,808.3292053663571,682.4543293842329,0.7144872967658005,38.705366357069146,54.17222465993857,1.0195242572256602,74.36532507739938,72.9412022817025,9.514642952154759
469.2026005518856,438.5945522200853,-87.77581737603478,808,5052.677500000001,10,54.34760431474204,77.5062087131031,700.1946023915043,cells,234.03475090663514,182.39216999893947,208.85755139347984,284.2851128437266,0.7456068229705626,0.6620145600183023,2704.0000000000005,1193.5625000000002,42.90660779067721,24.685355183081153,1.2505483837841793,855.3538938053098,683.983046875,0.9217105119930165,50.02389380530973,54.272890625,1.1687672195770107,89.58203539823009,76.6466015625,14.470188103286546
338.87797754859906,444.7891211097928,-88.44619877703751,809,4629.3325,14,48.652391165465,82.83150041069636,560.4515834626267,cells,33.53533090157892,191.92227598310487,208.1871699924771,243.6790545762997,0.546497741385555,1.3978088490616525,2743.715,828.945,41.555831436592,24.405838401754917,1.2637128252060443,697.1077981651376,551.6346627656299,0.9857734341030876,46.5434505606524,47.21516014782876,1.2201341058363673,99.24388379204892,81.3385047736372,55.07624637071345
283.2495562655307,452.7824547390841,-86.1904508342208,810,7141.095000000001,18,43.824710093480064,74.32519820139629,554.9541918116199,cells,-52.046855687757,204.2197123358607,210.44291793529382,251.10033031367095,0.5770365810338323,1.82034118334475,4689.3275,992.875,45.601911819079355,27.31440668320576,1.2840280186281146,707.0339361702128,550.6374673393999,0.8352485849049728,36.246808510638296,43.39643211100099,1.18389801056326,87.81989361702128,74.1785971709163,47.6549706333422
272.6496348162009,500.4746936681355,-88.32081849459769,811,6999.557500000001,13,50.12201967767248,81.25891833162311,669.2060723124283,cells,-68.35442714826443,277.5923876113244,208.31255027491693,279.1504702326074,0.728404409073179,1.8122333112568683,4012.06,1532.4075000000005,40.8439368190256,25.307310783703088,1.1872510588465752,804.1785221946512,677.3449610362258,0.8317727361692481,42.63881996140061,51.26258424599831,1.148011016477567,94.40377722635787,82.23246630160068,19.60483071440575
362.1793151414704,131.48829762045696,-90.16840298330769,812,7137.715000000001,15,44.348807268852845,66.95536876997751,664.2039629454245,cells,69.38354258291943,-290.07899092356564,206.46496578620693,283.21959423962676,0.7539473331086601,-1.3360188431999673,3619.5575,1457.6250000000002,45.548852315757124,29.245443316070652,1.1313757593801501,777.2038405797101,686.9546515699778,0.7676814242470618,35.896521739130435,46.75965915723123,0.9707663300225654,69.32021739130435,71.40772732578499,15.535706707386396
320.12886219118104,145.78792609194204,-88.86328572917752,813,8106.085000000001,14,45.21613416032524,55.31916501615761,463.5295527989159,cells,4.6905380440127304,-268.07956250589626,207.7700830403371,271.18510890321346,0.6979582186884243,-1.5533012986894856,5259.7025,1055.4050000000002,36.140641410007326,23.22436823928543,1.3684890180960612,616.2294835868695,450.2991806570809,0.7856935341624922,35.42784227381905,45.09117198168528,1.2048294934063228,65.26100880704564,54.16617800626556,27.570192043799693
327.01211111111115,201.12784313725493,-88.79712418300653,814,6464.250000000001,17,52.929232026143794,89.15004901960785,616.9135784313726,cells,15.280151766982131,-182.9412285900303,207.8362445865081,239.65510007040257,0.521183258038649,-1.4874648310028615,3738.28,1417.4875000000002,34.414373082628245,24.937638278493907,1.192626265856663,729.248435171386,611.4643422242315,0.9382971512794313,48.55849478390462,51.751723553345386,1.1763606060649678,103.3467958271237,87.8529893761302,59.100200876610586
350.758613524745,205.2026507996474,-87.84913738823826,815,6710.145,15,55.17623724971666,87.36171451958192,592.472594761365,cells,51.81323240334188,-176.67229372481114,208.78423138127636,240.6504475931727,0.520475177376131,-1.2855223627857089,4030.2275,1343.5500000000002,34.9475076182189,23.867383806835598,1.1366329610629078,673.3981918238994,592.4499947583604,0.8234400135254354,45.002908805031446,54.652322046336096,1.0891398965512913,95.12924528301886,87.34345843379809,58.10485335384047
222.20041407867495,212.65794377247468,-87.95532309033453,816,3877.2825,12,55.34123351857906,90.34357633213467,714.0022338454833,cells,-145.96861289830431,-165.20261222815375,208.6780456791801,253.13927785357933,0.6017246189494553,-2.2944614051691556,2109.5425,883.4475000000001,35.58897643706673,21.34204866460751,1.1737200436621518,827.3968197034911,704.9354095734028,0.8992516134812746,47.77199904351985,53.12417384338073,1.0999852622418111,98.38115734098515,89.43861405968356,45.616023093433824
209.84022445173323,241.7081162775741,-88.05292944883915,817,6569.4525,16,51.0838317576693,83.99598044890347,615.021239307994,cells,-164.98428924744542,-120.51003914338541,208.58043932067545,247.26908354680037,0.5669624172997602,-2.510732207621897,4049.6625,1177.5075000000002,35.840247601898206,24.345944142795723,1.3093115944131726,786.231162540366,600.4920187793427,0.8912206046380827,44.5034983853606,49.93544600938967,1.195111914542374,98.70739146035164,82.5925925925926,51.48621740021278
